pid,name,pos,age,fc_value,dhq_base,dhq_fix6,delta,pct,devBase_pct,devAfter_pct
421,Matthew Stafford,QB,38,2712,4933,3177,-1756,-35.6,128,47
8150,Kyren Williams,RB,25,3352,5140,3532,-1608,-31.3,92,32
3163,Jared Goff,QB,31,3172,4828,3327,-1501,-31.1,90,31
11632,Malik Nabers,WR,22,6797,2617,3948,1331,50.9,-52,-27
9226,De'Von Achane,RB,24,5984,7122,5891,-1231,-17.3,49,23
5870,Daniel Jones,QB,29,2575,3915,2699,-1216,-31.1,90,31
8183,Brock Purdy,QB,26,4494,5619,4408,-1211,-21.6,56,23
6790,D'Andre Swift,RB,27,2150,3320,2275,-1045,-31.5,93,32
7523,Trevor Lawrence,QB,26,5118,6064,5023,-1041,-17.2,48,23
6768,Tua Tagovailoa,QB,28,1674,2971,1930,-1041,-35,122,44
3294,Dak Prescott,QB,32,4193,5134,4110,-1024,-19.9,53,23
9229,Anthony Richardson,QB,24,952,2317,1356,-961,-41.5,204,78
7591,Justin Fields,QB,27,855,2165,1253,-912,-42.1,217,83
6904,Jalen Hurts,QB,27,5673,6489,5579,-910,-14,43,23
11562,Spencer Rattler,QB,25,101,1594,698,-896,-56.2,1868,762
12522,Cam Ward,QB,24,4073,1406,2298,892,63.4,-57,-29
12540,Chimere Dike,WR,24,809,2010,1169,-841,-41.8,211,81
9228,Bryce Young,QB,24,2737,3509,2673,-836,-23.8,60,22
9494,Marvin Mims,WR,24,499,1746,930,-816,-46.7,338,133
9758,C.J. Stroud,QB,24,3397,4127,3332,-795,-19.3,52,23
11604,Brock Bowers,TE,23,7655,3521,4310,789,22.4,-42,-30
4892,Baker Mayfield,QB,31,3316,4036,3257,-779,-19.3,52,23
9753,Zach Charbonnet,RB,25,1803,2582,1824,-758,-29.4,79,27
8228,Jaylen Warren,RB,27,1707,2493,1747,-746,-29.9,83,28
6813,Jonathan Taylor,RB,27,5271,5910,5184,-726,-12.3,40,23
4046,Patrick Mahomes,QB,30,5626,6232,5509,-723,-11.6,39,23
5850,Josh Jacobs,RB,28,2796,3455,2740,-715,-20.7,55,23
9999,Will Levis,QB,26,154,1327,612,-715,-53.9,979,398
8126,Wan'Dale Robinson,WR,25,1955,2615,1902,-713,-27.3,67,22
11566,Jayden Daniels,QB,25,7137,3317,4018,701,21.1,-42,-30
5848,Marquise Brown,WR,28,300,1378,694,-684,-49.6,474,189
8676,Rashid Shaheed,WR,27,1270,2060,1385,-675,-32.8,103,36
8917,KaVontae Turpin,WR,29,120,1204,546,-658,-54.7,1154,469
11655,Tyrone Tracy,RB,26,1334,2054,1409,-645,-31.4,93,32
11583,Jonathon Brooks,RB,22,1803,235,858,623,265.1,-84,-40
7527,Mac Jones,QB,27,1025,1793,1171,-622,-34.7,119,43
7611,Rhamondre Stevenson,RB,28,1664,2240,1625,-615,-27.5,68,22
13287,Jeremiyah Love,RB,21,6618,4964,4355,-609,-12.3,-6,-18
12498,Mason Taylor,TE,22,816,1586,998,-588,-37.1,143,53
12489,RJ Harvey,RB,25,1915,2450,1868,-582,-23.8,60,22
6826,Cole Kmet,TE,27,268,1175,597,-578,-49.2,449,179
10213,Tre Tucker,WR,25,850,1589,1013,-576,-36.2,134,49
6130,Devin Singletary,RB,28,103,1054,478,-576,-54.6,1185,483
7600,Pat Freiermuth,TE,27,746,1472,921,-551,-37.4,147,55
5022,Dallas Goedert,TE,31,1319,1868,1326,-542,-29,77,26
5001,Dalton Schultz,TE,29,918,1580,1038,-542,-34.3,115,41
5045,Courtland Sutton,WR,30,1782,2278,1737,-541,-23.7,60,22
12517,Colston Loveland,TE,22,5216,2401,2938,537,22.4,-42,-30
11597,Theo Johnson,TE,25,564,1298,773,-525,-40.4,188,71
7588,Javonte Williams,RB,26,3069,3549,3026,-523,-14.7,45,23
4943,Sam Darnold,QB,28,2951,3425,2902,-523,-15.3,45,23
9502,Tank Dell,WR,26,1091,1661,1145,-516,-31.1,90,31
5906,Dawson Knox,TE,29,141,976,461,-515,-52.8,764,308
11584,Bucky Irving,RB,23,3202,3663,3149,-514,-14,43,23
5857,Noah Fant,TE,28,67,913,404,-509,-55.8,1591,648
9754,Quentin Johnston,WR,24,1855,2307,1813,-494,-21.4,56,22
11650,Luke McCaffrey,WR,25,92,899,409,-490,-54.5,1115,453
11563,Bo Nix,QB,26,5059,5424,4939,-485,-8.9,34,22
7049,Jauan Jennings,WR,28,1211,1687,1206,-481,-28.5,74,25
2307,Marcus Mariota,QB,32,309,1025,553,-472,-46,315,124
8111,Cade Otton,TE,27,1008,1517,1050,-467,-30.8,88,30
11627,Troy Franklin,WR,23,951,1457,1002,-455,-31.2,92,32
3271,Tyler Higbee,TE,33,80,806,365,-441,-54.7,1159,470
8143,Jerome Ford,RB,26,102,809,376,-433,-53.5,887,359
13345,Jonah Coleman,RB,22,2115,2018,1590,-428,-21.2,19,-6
12501,Matthew Golden,WR,22,2025,731,1156,425,58.1,-55,-29
12499,Elic Ayomanor,WR,23,948,1395,974,-421,-30.2,84,28
5970,Greg Dortch,WR,28,41,740,322,-418,-56.5,2142,876
6149,Darius Slayton,WR,29,149,805,394,-411,-51.1,576,231
4993,Mike Gesicki,TE,30,326,927,519,-408,-44,255,99
3198,Derrick Henry,RB,32,2729,1180,1583,403,34.2,-46,-27
4039,Cooper Kupp,WR,32,549,1069,672,-397,-37.1,144,53
2306,Jameis Winston,QB,32,344,916,522,-394,-43,233,90
12504,Kaleb Johnson,RB,22,1179,182,573,391,214.8,-81,-39
13275,Ty Simpson,QB,23,2547,2013,1629,-384,-19.1,-1,-20
8188,Tyquan Thornton,WR,25,173,768,389,-379,-49.3,457,182
11579,Audric Estime,RB,22,98,715,336,-379,-53,817,331
8121,Romeo Doubs,WR,26,1651,1996,1624,-372,-18.6,51,23
11647,Kimani Vidal,RB,24,779,1183,816,-367,-31,90,31
6865,Colby Parkinson,TE,27,550,1016,651,-365,-35.9,131,48
3257,Jacoby Brissett,QB,33,1553,1889,1525,-364,-19.3,52,23
9501,DeMario Douglas,WR,25,310,838,476,-362,-43.2,238,92
3214,Hunter Henry,TE,31,1276,1613,1252,-361,-22.4,58,23
5846,DK Metcalf,WR,28,2127,2453,2093,-360,-14.7,44,23
8155,Breece Hall,RB,25,4009,4261,3903,-358,-8.4,33,22
9757,Kendre Miller,RB,23,202,752,395,-357,-47.5,367,145
6794,Justin Jefferson,WR,26,7019,3526,3882,356,10.1,-37,-31
7607,Michael Carter,RB,27,81,660,306,-354,-53.6,915,371
4066,Evan Engram,TE,31,665,1075,723,-352,-32.7,102,36
5947,Jakobi Meyers,WR,29,1631,1956,1605,-351,-17.9,50,23
7585,Davis Mills,QB,27,121,680,331,-349,-51.3,601,241
12474,Woody Marks,RB,25,1316,1634,1293,-341,-20.9,55,23
6819,Michael Pittman,WR,28,1813,2126,1786,-340,-16,47,23
10226,Andrei Iosivas,WR,26,175,704,364,-340,-48.3,403,160
6039,Ty Johnson,RB,28,52,606,271,-335,-55.3,1343,545
6804,Jordan Love,QB,27,3981,4208,3874,-334,-7.9,32,22
8125,Calvin Austin,WR,27,189,703,369,-334,-47.5,366,144
12486,Dillon Gabriel,QB,25,91,632,298,-334,-52.8,766,308
9500,Josh Downs,WR,24,1945,2236,1910,-326,-14.6,44,23
7543,Travis Etienne,RB,27,2780,3036,2718,-318,-10.5,37,22
12485,Tez Johnson,WR,24,383,797,490,-307,-38.5,160,60
12518,Tyler Warren,TE,24,4668,2291,2590,299,13.1,-39,-31
11610,Malik Washington,WR,25,1104,1377,1081,-296,-21.5,56,23
9482,Michael Mayer,TE,24,659,975,680,-295,-30.3,85,29
7021,Rico Dowdle,RB,27,1660,1925,1632,-293,-15.2,45,23
12483,Jack Bech,WR,23,1165,346,634,288,83.2,-63,-32
11626,Xavier Legette,WR,25,521,853,571,-282,-33.1,105,37
13421,Eli Raridon,TE,22,1026,1080,800,-280,-25.9,32,-2
4950,Christian Kirk,WR,29,417,773,494,-279,-36.1,132,48
7083,Tyler Huntley,QB,28,100,547,268,-279,-51,584,235
4147,Samaje Perine,RB,30,8,480,201,-279,-58.1,7900,3250
11834,Devaughn Vele,WR,28,168,588,313,-275,-46.8,339,134
13401,Michael Trigg,TE,23,760,808,538,-270,-33.4,33,-11
13272,Carson Beck,QB,23,1620,1624,1355,-269,-16.6,25,5
11576,Braelon Allen,RB,22,1212,412,681,269,65.3,-57,-30
12476,Devin Neal,RB,22,432,766,498,-268,-35,122,44
12511,Will Howard,QB,24,368,632,365,-267,-42.2,115,24
13289,Drew Allar,QB,22,1201,1232,968,-264,-21.4,28,1
13276,Omar Cooper,WR,22,2507,2012,1751,-261,-13,0,-13
13278,Max Klare,TE,22,1348,1340,1083,-257,-19.2,24,1
8225,Daniel Bellinger,TE,25,35,462,205,-257,-55.6,1550,632
7571,Rashod Bateman,WR,26,404,724,469,-255,-35.2,124,45
11783,Ryan Flournoy,WR,26,420,733,479,-254,-34.7,118,43
5995,Justice Hill,RB,28,193,566,315,-251,-44.3,268,105
7002,Juwan Johnson,TE,29,1264,1497,1247,-250,-16.7,48,23
12497,Tory Horton,WR,23,1054,1286,1037,-249,-19.4,53,23
13319,Oscar Delp,TE,22,1069,1083,838,-245,-22.6,27,-2
7594,Chuba Hubbard,RB,26,1980,2180,1939,-241,-11.1,38,22
12509,Tre' Harris,WR,24,1248,495,731,236,47.7,-50,-27
5892,David Montgomery,RB,28,2028,2218,1985,-233,-10.5,37,22
13269,Fernando Mendoza,QB,22,4208,3871,3639,-232,-6,15,8
6783,Jerry Jeudy,WR,27,1251,1462,1230,-232,-15.9,46,23
11575,Ray Davis,RB,26,595,821,589,-232,-28.3,72,24
13286,Jadarian Price,RB,22,3504,2975,2747,-228,-7.7,6,-2
13400,Justin Joly,TE,21,968,925,703,-222,-24,20,-9
13311,Chris Bell,WR,21,1930,1488,1267,-221,-14.9,-4,-18
9756,Jordan Addison,WR,24,2321,2481,2261,-220,-8.9,34,22
5967,Tony Pollard,RB,29,1607,1795,1576,-219,-12.2,40,23
8210,Chig Okonkwo,TE,26,1596,1781,1564,-217,-12.2,40,23
8136,Rachaad White,RB,27,1506,1697,1480,-217,-12.8,41,23
12510,Jalen Milroe,QB,23,722,699,485,-214,-30.6,21,-16
1373,Geno Smith,QB,35,1562,1746,1533,-213,-12.2,40,23
4981,Calvin Ridley,WR,31,581,778,566,-212,-27.2,68,22
11637,Keon Coleman,WR,23,1241,1429,1220,-209,-14.6,44,23
13298,KC Concepcion,WR,21,2984,2076,1870,-206,-9.9,-13,-22
11565,J.J. McCarthy,QB,23,1497,1674,1469,-205,-12.2,40,23
13404,Garrett Nussmeier,QB,24,863,852,649,-203,-23.8,23,-6
13303,Cade Klubnik,QB,22,1096,1040,838,-202,-19.4,19,-4
9479,Darnell Washington,TE,24,251,520,320,-200,-38.5,159,59
13306,Taylen Green,QB,23,730,713,514,-199,-27.9,22,-12
12473,Mitchell Evans,TE,23,32,360,162,-198,-55,1285,523
13346,Denzel Boston,WR,22,2316,1913,1719,-194,-10.1,3,-7
13288,Nicholas Singleton,RB,22,1882,1633,1441,-192,-11.8,9,-4
8134,Khalil Shakir,WR,26,1452,1617,1427,-190,-11.8,39,23
9508,Tyjae Spears,RB,24,1194,1362,1172,-190,-14,43,23
8144,Chris Olave,WR,25,3873,3911,3724,-187,-4.8,26,20
12471,DJ Giddens,RB,22,585,104,290,186,178.8,-78,-38
13380,Brenen Thompson,WR,22,905,782,597,-185,-23.7,8,-17
12482,Savion Williams,WR,24,96,382,198,-184,-48.2,396,157
827,Tyrod Taylor,QB,36,76,364,182,-182,-50,497,198
12505,Jalen Royals,WR,23,515,67,245,178,265.7,-84,-41
6271,Olamide Zaccheaus,WR,28,33,319,145,-174,-54.5,1127,458
7587,Dyami Brown,WR,26,13,301,129,-172,-57.1,2910,1190
13338,Kevin Coleman,WR,22,825,711,540,-171,-24.1,8,-18
8147,John Metchie,WR,25,185,424,253,-171,-40.3,186,71
11603,AJ Barner,TE,24,1400,1539,1369,-170,-11,38,22
9504,Kayshon Boutte,WR,24,1107,1260,1090,-170,-13.5,42,23
6806,J.K. Dobbins,RB,27,1548,1677,1511,-166,-9.9,36,22
19,Joe Flacco,QB,41,243,453,289,-164,-36.2,134,49
9997,Zay Flowers,WR,25,3422,3445,3282,-163,-4.7,26,20
11199,Emari Demercado,RB,27,26,296,133,-163,-55.1,1310,533
11559,Michael Penix,QB,26,1797,1913,1752,-161,-8.4,33,22
8208,Tyler Badie,RB,26,6,277,116,-161,-58.1,5440,2220
13420,Bryce Lance,WR,23,821,700,540,-160,-22.9,7,-18
12641,Jaylin Lane,WR,24,251,452,292,-160,-35.4,125,45
13320,Zachariah Branch,WR,22,1622,1312,1154,-158,-12,1,-11
12455,Brashard Smith,RB,23,273,461,305,-156,-33.8,111,40
4040,JuJu Smith-Schuster,WR,29,25,283,127,-156,-55.1,1315,535
11617,Malachi Corley,WR,24,22,282,126,-156,-55.3,1467,600
10232,Michael Wilson,WR,26,1976,2076,1921,-155,-7.5,31,22
13274,Germie Bernard,WR,22,1818,1441,1287,-154,-10.7,-1,-11
4972,Mason Rudolph,QB,30,62,305,152,-153,-50.2,510,204
11600,Ja'Tavion Sanders,TE,23,404,549,397,-152,-27.7,70,23
9481,Luke Musgrave,TE,25,139,352,204,-148,-42,217,84
9506,Sean Tucker,RB,24,682,816,670,-146,-17.9,50,23
13299,Nate Boerkircher,TE,24,173,384,239,-145,-37.8,178,73
4217,George Kittle,TE,32,2108,2184,2042,-142,-6.5,30,21
11630,Roman Wilson,WR,24,59,284,142,-142,-50,504,202
11629,Devontez Walker,WR,24,18,254,112,-142,-55.9,1714,700
11256,Tyson Bagent,QB,25,56,280,139,-141,-50.4,522,209
10444,Cedric Tillman,WR,26,260,420,283,-137,-32.6,102,36
11571,Isaiah Davis,RB,24,286,435,300,-135,-31,90,31
11439,Jaleel McLaughlin,RB,25,25,246,112,-134,-54.5,1130,460
2078,Odell Beckham,WR,33,407,68,200,132,194.1,-79,-38
8132,Tyler Allgeier,RB,26,1434,1529,1399,-130,-8.5,33,22
13417,De'Zhaun Stribling,WR,23,1516,1183,1054,-129,-10.9,-2,-13
13353,Chris Brazzell,WR,22,1413,1068,939,-129,-12.1,-5,-17
12542,Efton Chism,WR,24,47,250,123,-127,-50.8,558,224
8119,Jahan Dotson,WR,26,176,336,212,-124,-36.9,138,50
7828,Noah Gray,TE,27,167,328,206,-122,-37.2,147,55
7562,Tutu Atwell,WR,26,32,227,107,-120,-52.9,773,312
13337,Emmett Johnson,RB,22,1644,1391,1273,-118,-8.5,6,-3
12500,Quinn Ewers,QB,23,262,389,271,-118,-30.3,86,30
11577,Will Shipley,RB,23,126,291,173,-118,-40.5,188,71
13302,Adam Randall,RB,21,1028,661,545,-116,-17.5,-20,-34
13270,CJ Daniels,WR,24,544,535,420,-115,-21.5,23,-3
11994,Kameron Johnson,WR,24,40,225,110,-115,-51.1,603,244
13268,Elijah Sarratt,WR,23,1537,1202,1088,-114,-9.5,-2,-11
4219,Jeremy McNichols,RB,30,20,206,93,-113,-54.9,1188,481
12533,Jacory Croskey-Merritt,RB,25,1589,1643,1537,-106,-6.5,29,21
13335,Cole Payton,QB,23,322,425,319,-106,-24.9,65,24
9486,Dontayvion Wicks,WR,24,760,852,747,-105,-12.3,40,23
12467,Jordan James,RB,22,850,650,545,-105,-16.2,-4,-20
13285,Malachi Fields,WR,22,1482,1159,1055,-104,-9,-2,-11
13411,Zavion Thomas,WR,22,616,533,431,-102,-19.1,8,-12
7090,Darnell Mooney,WR,28,653,742,642,-100,-13.5,42,23
13333,Deion Burks,WR,23,562,540,442,-98,-18.1,20,-2
13394,Josh Cameron,WR,23,317,396,298,-98,-24.7,57,18
8698,Jake Tonges,TE,26,879,953,858,-95,-10,36,22
13402,Skyler Bell,WR,23,1310,857,762,-95,-11.1,-18,-27
12535,Isaac TeSlaa,WR,24,1250,601,695,94,15.6,-40,-30
13317,Ted Hurst,WR,21,1478,1146,1054,-92,-8,-3,-11
13307,Marlin Klein,TE,23,376,459,368,-91,-19.8,52,22
13413,Cyrus Allen,WR,23,382,413,322,-91,-22,35,6
13282,Jack Endries,TE,22,594,545,455,-90,-16.5,15,-4
8800,Malik Davis,RB,27,61,195,106,-89,-45.6,298,116
13348,J'Mari Taylor,RB,24,632,496,408,-88,-17.7,-2,-19
12670,KeAndre Lambert-Smith,WR,24,135,247,159,-88,-35.6,129,47
7567,Kenneth Gainwell,RB,27,1636,1660,1574,-86,-5.2,27,20
8130,Trey McBride,TE,26,6904,3771,3855,84,2.2,-32,-30
13294,Makai Lemon,WR,22,3637,2372,2456,84,3.5,-18,-16
12541,Dont'e Thornton,WR,23,359,118,200,82,69.5,-59,-30
96,Aaron Rodgers,QB,42,1288,1325,1245,-80,-6,29,21
13408,Tanner Koziol,TE,22,453,473,394,-79,-16.7,31,9
13403,Jam Miller,RB,21,487,445,366,-79,-17.8,14,-6
13301,Antonio Williams,WR,21,1794,1340,1265,-75,-5.6,-7,-12
12523,Jimmy Horn,WR,23,72,179,104,-75,-41.9,209,79
13293,Ja'Kobi Lane,WR,22,1284,938,864,-74,-7.9,-9,-16
13324,Matt Hibner,TE,24,478,576,502,-74,-12.8,51,31
4033,David Njoku,TE,29,1274,1303,1230,-73,-5.6,28,21
13434,Will Kacmarek,TE,23,418,459,387,-72,-15.7,37,16
13435,Joe Royer,TE,24,89,239,173,-66,-27.6,237,144
11557,Joe Milton,QB,26,340,134,199,65,48.5,-51,-27
13424,Seth McGowan,RB,24,586,398,335,-63,-15.8,-15,-28
13423,Eli Heidenreich,RB,22,784,515,453,-62,-12,-18,-28
13349,Eli Stowers,TE,23,2439,1644,1583,-61,-3.7,-16,-19
13329,Malik Benson,WR,23,185,293,233,-60,-20.5,98,57
13322,Sam Roush,TE,22,290,420,361,-59,-14,81,56
13416,Roman Hemby,RB,23,297,375,318,-57,-15.2,58,34
13347,Demond Claiborne,RB,22,1165,651,595,-56,-8.6,-30,-36
12470,Riley Leonard,QB,23,345,397,341,-56,-14.1,44,24
13392,Jeff Caldwell,WR,23,250,309,253,-56,-18.1,55,27
8138,James Cook,RB,26,5021,4770,4715,-55,-1.2,19,17
13342,John Michael Gyllenborg,TE,23,219,328,275,-53,-16.2,87,57
6920,Isaiah Hodgins,WR,27,18,103,50,-53,-51.5,636,257
12718,Konata Mumpfield,WR,23,49,124,72,-52,-41.9,218,85
11599,Cade Stover,TE,25,17,101,49,-52,-51.5,621,250
13296,Caleb Douglas,WR,22,761,585,534,-51,-8.7,-4,-12
13079,Jahdae Walker,WR,23,89,151,100,-51,-33.8,113,41
11435,Emanuel Wilson,RB,27,683,713,663,-50,-7,31,21
8408,Jordan Mason,RB,27,1356,1345,1297,-48,-3.6,24,20
12496,Tai Felton,WR,23,46,114,66,-48,-42.1,208,78
13330,Kenyon Sadiq,TE,21,2856,1922,1879,-43,-2.2,-16,-18
8117,Jalen Tolbert,WR,27,360,392,351,-41,-10.5,36,22
13422,Jaren Kanak,TE,22,263,373,332,-41,-11,78,58
9224,Chase Brown,RB,26,3711,3518,3478,-40,-1.1,19,17
7538,Zach Wilson,QB,26,56,104,66,-38,-36.5,131,47
8142,Alec Pierce,WR,26,2185,2092,2055,-37,-1.8,20,18
4137,James Conner,RB,31,710,719,682,-37,-5.1,27,20
