pid,name,pos,team,age,dhq,fc_value,fc_scaled,dev_vs_fc_pct
9509,Bijan Robinson,RB,ATL,24,8281,10300,8281,0
9221,Jahmyr Gibbs,RB,DET,24,8104,9788,7869,3
4984,Josh Allen,QB,BUF,30,8082,10100,8120,0
9226,De'Von Achane,RB,MIA,24,7105,5907,4749,50
11564,Drake Maye,QB,NE,23,6773,8825,7095,-5
9493,Puka Nacua,WR,LAR,25,6766,8670,6971,-3
6904,Jalen Hurts,QB,PHI,27,6481,5675,4563,42
4046,Patrick Mahomes,QB,KC,30,6216,5560,4470,39
7523,Trevor Lawrence,QB,JAX,26,6054,5096,4097,48
7564,Ja'Marr Chase,WR,CIN,26,6000,9717,7812,-23
9488,Jaxon Smith-Njigba,WR,SEA,24,5984,9234,7424,-19
6813,Jonathan Taylor,RB,IND,27,5903,5287,4251,39
11560,Caleb Williams,QB,CHI,24,5781,7166,5761,0
8183,Brock Purdy,QB,SF,26,5607,4452,3579,57
11563,Bo Nix,QB,DEN,26,5408,4981,4005,35
4881,Lamar Jackson,QB,BAL,29,5306,7190,5781,-8
7547,Amon-Ra St. Brown,WR,DET,26,5302,7494,6025,-12
8150,Kyren Williams,RB,LAR,25,5130,3312,2663,93
3294,Dak Prescott,QB,DAL,32,5116,4083,3283,56
13287,Jeremiyah Love,RB,ARI,21,4959,6626,5327,-7
6797,Justin Herbert,QB,LAC,28,4932,5714,4594,7
421,Matthew Stafford,QB,LAR,38,4921,2634,2118,132
3163,Jared Goff,QB,DET,31,4819,3134,2520,91
8112,Drake London,WR,ATL,24,4775,5825,4683,2
8138,James Cook,RB,BUF,26,4761,5006,4025,18
12527,Ashton Jeanty,RB,LV,22,4570,6872,5525,-17
8155,Breece Hall,RB,NYJ,25,4248,3945,3172,34
6804,Jordan Love,QB,GB,27,4200,3963,3186,32
8137,George Pickens,WR,DAL,25,4188,4473,3596,16
9758,C.J. Stroud,QB,HOU,24,4124,3417,2747,50
12508,Jaxson Dart,QB,NYG,23,4071,5483,4408,-8
4892,Baker Mayfield,QB,TB,31,4029,3299,2652,52
6770,Joe Burrow,QB,CIN,29,3942,6768,5441,-28
5870,Daniel Jones,QB,IND,29,3913,2589,2082,88
8144,Chris Olave,WR,NO,25,3906,3889,3127,25
13269,Fernando Mendoza,QB,LV,22,3864,4142,3330,16
12507,Omarion Hampton,RB,LAC,23,3829,5694,4578,-16
6786,CeeDee Lamb,WR,DAL,27,3816,6327,5087,-25
8130,Trey McBride,TE,ARI,26,3763,6926,5568,-32
